iter	Logloss
0	0.6579358306
1	0.6273952338
2	0.6007122404
3	0.581915734
4	0.5587599264
5	0.5532338549
6	0.5383117166
7	0.5206862669
8	0.5074098071
9	0.4964136332
10	0.4845281162
11	0.4799796289
12	0.4757100443
13	0.4708695688
14	0.4577061785
15	0.454125136
16	0.4419500623
17	0.4386339661
18	0.4299141472
19	0.4267026072
20	0.4238863873
21	0.4203557654
22	0.41736445
23	0.4103011003
24	0.3956538247
25	0.3927482641
26	0.3901981947
27	0.3774186825
28	0.3750257044
29	0.3725453277
30	0.364858781
31	0.3584267391
32	0.3565687053
33	0.3507627619
34	0.3489179641
35	0.3467124286
36	0.3448604825
37	0.3429957806
38	0.3415624442
39	0.3399647824
40	0.3356599197
41	0.3263232736
42	0.324600094
43	0.320978074
44	0.3196842421
45	0.3162975568
46	0.3118048322
47	0.308807204
48	0.307477627
49	0.3060680161
50	0.3046968964
51	0.3022307691
52	0.3009407152
53	0.2996532089
54	0.2958656698
55	0.2947010964
56	0.2880113194
57	0.2868281099
58	0.2858487583
59	0.2846576559
60	0.2834632641
61	0.2802350759
62	0.2789921081
63	0.2778514605
64	0.2760340917
65	0.2728314442
66	0.2714867912
67	0.2700077156
68	0.2689094244
69	0.2677246424
70	0.2667144565
71	0.2656878713
72	0.2606431856
73	0.2596261184
74	0.2588645378
75	0.2580454454
76	0.2572061688
77	0.25627166
78	0.2537699417
79	0.2528342149
80	0.2519742312
81	0.2512141637
82	0.2491865032
83	0.2485210762
84	0.2479729062
85	0.2472461076
86	0.2464795285
87	0.245821877
88	0.2451121907
89	0.2443169507
90	0.2403837163
91	0.2367029371
92	0.2359075966
93	0.2352826325
94	0.234598448
95	0.2340269409
96	0.2334785279
97	0.2326941559
98	0.2295898512
99	0.2290454301
100	0.2285114651
101	0.2271449639
102	0.2264445591
103	0.2260033728
104	0.2255508626
105	0.2251489556
106	0.2247195196
107	0.2240127385
108	0.2235615727
109	0.2219406611
110	0.2213098317
111	0.2208045278
112	0.2202168499
113	0.2198712545
114	0.2193707958
115	0.2188484036
116	0.2185482237
117	0.218095173
118	0.2177122051
119	0.2172539525
120	0.2167359123
121	0.2162552065
122	0.2159042703
123	0.2155635003
124	0.2131259477
125	0.2120105526
126	0.2115826969
127	0.2112008771
128	0.2102529585
129	0.2097730681
130	0.2094079604
131	0.2091259344
132	0.2087625651
133	0.2083339757
134	0.2075536645
135	0.2071191586
136	0.2067012965
137	0.2054671059
138	0.2051867669
139	0.2046444158
140	0.2038541337
141	0.2035038588
142	0.2032218323
143	0.2028418052
144	0.2024563467
145	0.2020792094
146	0.2018657236
147	0.201468734
148	0.2011804876
149	0.2007449164
150	0.2004436595
151	0.2002114587
152	0.1997893007
153	0.1995375852
154	0.1992419135
155	0.1990054877
156	0.1987714266
157	0.1985294339
158	0.1982501255
159	0.1961271591
160	0.1957985104
161	0.1954747745
162	0.1944500253
163	0.194185126
164	0.1938741459
165	0.1935217991
166	0.1932854634
167	0.1930138773
168	0.1927325962
169	0.1925026257
170	0.1922047201
171	0.1918679239
172	0.1913824564
173	0.1911369657
174	0.1908339694
175	0.1905394565
176	0.1902358463
177	0.1899870535
178	0.1897272464
179	0.1894909662
180	0.1891839499
181	0.1888849122
182	0.1886528621
183	0.1884413186
184	0.18821234
185	0.1879043083
186	0.1877095557
187	0.1874322885
188	0.1871799335
189	0.1869227641
190	0.1866764644
191	0.1859385048
192	0.1856894357
193	0.1855547575
194	0.1853674851
195	0.1850579345
196	0.1844265529
197	0.1842109785
198	0.1839313682
199	0.1837563253
200	0.1835445943
201	0.1819529623
202	0.1816793782
203	0.1813820367
204	0.1810855863
205	0.1808550182
206	0.1805972561
207	0.1804158125
208	0.180043506
209	0.1797993079
210	0.1794846758
211	0.1792027205
212	0.1790397991
213	0.1787471674
214	0.1784395035
215	0.1782598427
216	0.1780291243
217	0.1776762516
218	0.1774108107
219	0.1771846169
220	0.1769202664
221	0.1766165027
222	0.1763698208
223	0.1761218736
224	0.1759180435
225	0.1754755696
226	0.175194517
227	0.174990503
228	0.1748537402
229	0.1746882871
230	0.1744585286
231	0.174265001
232	0.1739715626
233	0.1736893114
234	0.1733273934
235	0.1730247488
236	0.1727951154
237	0.1720240416
238	0.1718310145
239	0.1716396133
240	0.1713959084
241	0.1712321933
242	0.1710547011
243	0.1708938317
244	0.1706814414
245	0.1705220815
246	0.1702594993
247	0.1700164036
248	0.1697829111
249	0.1695347062
250	0.1693555586
251	0.1691362212
252	0.1688894807
253	0.1687004738
254	0.1685096181
255	0.168307469
256	0.1680419493
257	0.1677917354
258	0.1676499031
259	0.167463932
260	0.1672542919
261	0.1670128956
262	0.1667586193
263	0.1665669508
264	0.1664244055
265	0.166255742
266	0.1660872127
267	0.1656756702
268	0.1655330353
269	0.1653132395
270	0.1651308417
271	0.1649133264
272	0.1647272693
273	0.1645050903
274	0.1643791737
275	0.164183088
276	0.1631809331
277	0.1629999888
278	0.1627281621
279	0.1625752841
280	0.1623607924
281	0.1621942552
282	0.1620395067
283	0.1618886628
284	0.1617273828
285	0.1615690186
286	0.1613360695
287	0.1608968468
288	0.1607510132
289	0.1606214153
290	0.1604277779
291	0.1602758021
292	0.1600672193
293	0.1598746311
294	0.1596480595
295	0.159459035
296	0.1592390102
297	0.1590325302
298	0.1588894771
299	0.1586206287
300	0.1584802546
301	0.1582910265
302	0.1581738978
303	0.1579982351
304	0.1577722591
305	0.1576065342
306	0.1574477567
307	0.1572131116
308	0.1570237033
309	0.1569147047
310	0.1565493139
311	0.1563027399
312	0.156106603
313	0.1559749079
314	0.15511232
315	0.1549050847
316	0.1547092416
317	0.1545218174
318	0.1543188186
319	0.1541174155
320	0.154000358
321	0.1537962604
322	0.1536695804
323	0.1535554111
324	0.1533937919
325	0.153187749
326	0.1530304516
327	0.1528831909
328	0.152685839
329	0.1524948084
330	0.1523098745
331	0.1521018438
332	0.1519055512
333	0.1516965741
334	0.151591325
335	0.151491016
336	0.1513431598
337	0.1511999872
338	0.1509441684
339	0.1508623875
340	0.1507165872
341	0.1506488846
342	0.1505325922
343	0.1503615001
344	0.1501685772
345	0.1500006768
346	0.149814149
347	0.1496095232
348	0.14946513
349	0.1492915699
350	0.1492105968
351	0.1490812773
352	0.1489261201
353	0.1487752328
354	0.1486615382
355	0.1485805326
356	0.1483770682
357	0.1482513549
358	0.1480289797
359	0.1478710966
360	0.1477590957
361	0.1474911522
362	0.147393779
363	0.1472563755
364	0.1470851114
365	0.1468720493
366	0.146674915
367	0.1465530452
368	0.1464665921
369	0.1463067955
370	0.1462022289
371	0.1460553846
372	0.1458651894
373	0.145805672
374	0.1456204792
375	0.1454827073
376	0.1453486625
377	0.145203565
378	0.1450852071
379	0.1449341746
380	0.1448425043
381	0.1447197902
382	0.1445662639
383	0.1444280131
384	0.1442800864
385	0.1441067025
386	0.1440048663
387	0.1439029353
388	0.14374937
389	0.1436024414
390	0.143466757
391	0.1433451695
392	0.1427132035
393	0.1425640922
394	0.1424650369
